,,,,,,Sc,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Y,Ho,Er,Tm,Yb,Lu,,Total REE,Critical,Uncritical,Excessive,PctCrit
Sample,Plant,Unit,Type,Row,Basin,mg kg-1  ,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,,mg kg-1,mg kg-1,mg kg-1,mg kg-1,%
93398,D,3,ESP,1,App,38.00,93.71,198.59,22.33,84.53,18.21,3.75,17.80,2.84,16.24,93.54,3.28,9.25,1.28,8.22,1.21,,613,210,152,213,36.6
93399,D,3,ESP,2,App,35.20,81.14,174.24,19.30,73.17,15.83,3.25,15.40,2.39,14.07,82.57,2.88,8.01,1.13,7.16,1.06,,537,183,132,186,36.6
93400,D,4,mech,1,App,26.15,76.17,163.47,18.06,67.39,14.01,2.82,13.38,2.05,11.58,65.45,2.32,6.48,0.92,5.82,0.85,,477,156,122,173,34.6
93401,D,4,mech,1,App,31.11,83.84,179.23,19.94,75.46,16.17,3.22,15.66,2.37,13.64,77.44,2.77,7.82,1.09,6.74,0.99,,537,180,136,191,35.5
93402,D,4,ESP,1,App,36.87,96.82,204.17,22.90,86.94,18.54,3.81,18.26,2.85,16.74,94.56,3.43,9.47,1.30,8.19,1.22,,626,214,157,218,36.4
93403,D,4,ESP,2,App,40.44,84.57,180.13,20.46,77.32,16.64,3.49,16.70,2.64,15.42,91.04,3.16,8.95,1.25,7.80,1.17,,571,199,138,194,37.5
93435,F,1,ESP,1,App,36.63,84.82,183.47,20.44,77.51,16.85,3.47,16.46,2.63,15.66,89.68,3.14,8.94,1.27,7.85,1.17,,570,198,139,197,37.1
93436,F,1,ESP,1,App,37.42,86.67,189.36,20.99,79.57,16.98,3.50,16.94,2.70,15.91,92.41,3.22,9.21,1.32,8.08,1.20,,585,203,142,203,37.1
93437,F,1,ESP,2,App,34.72,77.52,169.31,18.97,71.31,15.11,3.06,15.04,2.38,14.36,83.02,2.90,8.31,1.16,7.44,1.10,,526,182,127,182,37.2
93438,F,2,ESP,1,App,40.28,83.92,182.98,20.45,77.97,17.35,3.82,17.31,2.76,16.27,93.89,3.33,9.45,1.35,8.19,1.24,,581,204,139,197,37.8
93439,F,2,ESP,1,App,37.59,81.71,178.06,19.92,76.00,16.01,3.68,16.52,2.64,15.61,88.28,3.14,8.92,1.25,7.74,1.16,,558,195,134,191,37.5
